Name,SMILES,Stereo_tag,Metal_Name,Metal_SMILES,Ligand_Name,Ligand_SMILES,Diazo_Name,Diazo_SMILES
M4_L67_D1,[Cu+].C(=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccc4ccccc4c3)c21)\c1ccc2ccccc2c1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L67,C(=N/c1cccc2c1C1(CC2)CCc2cccc(/N=C/c3ccc4ccccc4c3)c21)\c1ccc2ccccc2c1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L68_D1,[Cu+].c1ccc([C@@H]2COC(C3=N[C@H](c4ccccc4)CO3)=N2)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L68,c1ccc([C@@H]2COC(C3=N[C@H](c4ccccc4)CO3)=N2)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L69_D1,[Cu+].CC(C)(C1=N[C@@H](C2CCCCC2)CO1)C1=N[C@@H](C2CCCCC2)CO1.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L69,CC(C)(C1=N[C@@H](C2CCCCC2)CO1)C1=N[C@@H](C2CCCCC2)CO1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L70_D1,[Cu+].CC(C)[C@H]1COC(c2cccc3c2[Si]2(C[C@H]3C)C[C@@H](C)c3cccc(C4=N[C@@H](C(C)C)CO4)c32)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L70,CC(C)[C@H]1COC(c2cccc3c2[Si]2(C[C@H]3C)C[C@@H](C)c3cccc(C4=N[C@@H](C(C)C)CO4)c32)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L71_D1,[Cu+].C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@@H](C5CCCCC5)CO4)c32)c2c(C3=N[C@@H](C4CCCCC4)CO3)cccc21.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L71,C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@@H](C5CCCCC5)CO4)c32)c2c(C3=N[C@@H](C4CCCCC4)CO3)cccc21,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L72_D1,[Cu+].CC[C@H](C)[C@H]1COC(c2cccc3c2[Si]2(C[C@H]3C)C[C@@H](C)c3cccc(C4=N[C@@H]([C@@H](C)CC)CO4)c32)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L72,CC[C@H](C)[C@H]1COC(c2cccc3c2[Si]2(C[C@H]3C)C[C@@H](C)c3cccc(C4=N[C@@H]([C@@H](C)CC)CO4)c32)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L73_D1,[Cu+].C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@@H](C(C)(C)C)CO4)c32)c2c(C3=N[C@@H](C(C)(C)C)CO3)cccc21.COC(=O)C(=[N+]=[N-])c1ccccc1,-1,M4,[Cu+],L73,C[C@@H]1C[Si]2(C[C@@H](C)c3cccc(C4=N[C@@H](C(C)(C)C)CO4)c32)c2c(C3=N[C@@H](C(C)(C)C)CO3)cccc21,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L74_D1,[Cu+].c1ccc2c3c(ccc2c1)Cn1c(nc2ccccc21)-c1nc2ccccc2n1Cc1ccc2ccccc2c1-3.COC(=O)C(=[N+]=[N-])c1ccccc1,-2,M4,[Cu+],L74,c1ccc2c3c(ccc2c1)Cn1c(nc2ccccc21)-c1nc2ccccc2n1Cc1ccc2ccccc2c1-3,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L75_D1,[Cu+].CC(C)(C1=N[C@H](c2ccccc2)CO1)C1=N[C@H](c2ccccc2)CO1.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L75,CC(C)(C1=N[C@H](c2ccccc2)CO1)C1=N[C@H](c2ccccc2)CO1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L76_D1,[Cu+].CC(C)C[C@@H]1COC(C(C#N)C2=N[C@H](CC(C)C)CO2)=N1.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L76,CC(C)C[C@@H]1COC(C(C#N)C2=N[C@H](CC(C)C)CO2)=N1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L77_D1,[Cu+].CC[C@H]1CC[C@H](CC)P1c1ccccc1P1[C@@H](CC)CC[C@@H]1CC.COC(=O)C(=[N+]=[N-])c1ccccc1,0,M4,[Cu+],L77,CC[C@H]1CC[C@H](CC)P1c1ccccc1P1[C@@H](CC)CC[C@@H]1CC,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
M4_L78_D1,[Cu+].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1.COC(=O)C(=[N+]=[N-])c1ccccc1,1,M4,[Cu+],L78,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,D1,COC(=O)C(=[N+]=[N-])c1ccccc1
